channel_title,Total Views,Total Trending videos
Lyft,10113686,9
Cracked,10051250,26
colinfurze,9909809,12
Rooster Teeth,9827843,13
Glam&Gore,9775183,24
Rob Bliss,9701123,7
ABC News,9666836,70
Beyonce,9578073,5
theneedledrop,9574670,30
Grace Helbig,9487102,52
ChrisBrownVEVO,9361727,7
FC Barcelona,9270318,29
Zebra Corner,9268406,6
wdwmagic,9265854,10
Inanna Sarkis,9252139,7
Karina Garcia,9219130,6
Cards Against Humanity,9186934,8
Amber Scholl,9165810,25
TheReportOfTheWeek,9124684,16
Alissa Ashley,9094406,26
Simone Giertz,9089748,25
Battle Universe!,9051461,11
Veritasium,9051086,14
Australian Open TV,9035474,17
Let Me Explain Studios,9030647,6
Munchies,8999805,20
Fox News,8989940,29
Watch What Happens Live with Andy Cohen,8954852,66
Sprinkleofglitter,8952248,16
NoahCyrusVEVO,8938720,9
Orion Pictures,8933850,7
Duston Ward,8898135,8
TromaMovies,8823516,8
Green Day,8817596,11
Ranz Kyle,8676032,16
Rella On the radio,8629097,5
Jason Derulo,8524177,4
SeanPaulVEVO,8502127,6
thegameawards,8454016,6
Amazon Studios,8395216,17
KBSKpop,8346693,8
MasterClass,8291604,4
Zendaya,8234661,7
The 2x Family,8200751,6
David Guetta,8199225,6
KathleenLights,8171877,18
Disney Descendants,8158025,6
Manny Mua,8104400,6
Jonathan Morrison,8103086,20
KBAK - KBFX - Eyewitness News - BakersfieldNow,8080063,8
NASA Jet Propulsion Laboratory,8056076,8
Revolt TV,8055481,8
The Action Lab,8054309,5
RealLifeLore,7989911,18
Lip Sync Battle,7862787,34
HOT 97,7850299,6
ABC Action News,7848153,9
Alesso,7786569,7
The Weather Channel,7784540,9
mariahxlambily,7763315,7
theCHIVE,7706805,8
AnselElgortVEVO,7590243,6
Guy Tang,7508430,7
Ellie and Jared,7457580,13
Tyler Oakley,7446840,36
Clevver Style,7445122,14
How To Cook That,7427326,30
Brian Hull,7407313,24
Ã£Æ’Â¯Ã£Æ’Â¼Ã£Æ’Å Ã£Æ’Â¼ Ã£Æ’â€“Ã£Æ’Â©Ã£â€šÂ¶Ã£Æ’Â¼Ã£â€šÂ¹ Ã¥â€¦Â¬Ã¥Â¼ÂÃ£Æ’ÂÃ£Æ’Â£Ã£Æ’Â³Ã£Æ’ÂÃ£Æ’Â«,7389323,6
KBS World TV,7361683,3
euronews (in English),7353875,25
Big Marvel,7323283,15
ASMR Darling,7316390,7
C-SPAN,7308845,28
Daniel Howell,7298244,4
Dorkly,7276493,6
The School of Life,7242558,32
Leroy Sanchez,7219025,12
BÃƒËœRNSmusicVEVO,7190304,14
Kaplamino,7173978,9
Freddie Lister,7151971,7
NickJonasVEVO,7069856,25
Recording Academy / GRAMMYs,7054634,7
JasonAldeanVEVO,7044089,7
E! Live from the Red Carpet,7042359,13
Candide Thovex,6997284,6
dope2111,6915252,4
ThirtySecondsToMarsVEVO,6900112,8
RM Videos,6890169,45
NBC Sports,6839205,24
The Bella Twins,6826745,16
MN khan,6802599,5
Jenny Nicholson,6761567,42
RAP DAILY,6732940,7
PsychoSoprano,6722392,11
Patricia Bright,6707897,10
Carla Resendiz,6692044,8
carrieunderwoodVEVO,6677347,6
NiallHoranVEVO,6658698,10
FailArmy,6610961,3
hp_overload,6599794,7
HowToBasic,6599715,3
BRIGHT SIDE,6582622,5
Howl Of A Dog,6549569,5
BBC Earth,6482422,40
Nick Ramos,6436629,5
JOLLY,6411264,22
SB-LII Commercials,6377720,9
Australia,6365560,9
JackWhiteVEVO,6361229,12
ELLE,6332596,11
Wendy Williams,6306370,22
The Real Daytime,6266151,25
NBA on TNT,6262486,7
Avocado,6245242,2
Cole and Marmalade,6205719,16
Chloe x Halle,6178272,17
Simon and Martina,6173193,24
SUPERFRUIT,6137973,15
matt,6110345,8
KaneBrownVEVO,6086269,15
"But First, Coffee",6073847,3
Refinery29,6068962,91
Lisa Eldridge,6054114,19
TheBackyardScientist,6037569,7
UrAvgConsumer,6017708,8
MiguelVEVO,6006029,11
ViralHog,5979781,36
Ã¬ËœÂÃªÂµÂ­Ã«â€šÂ¨Ã¬Å¾Â Korean Englishman,5963784,6
RedCurtainEnt,5961158,3
Patrick Nan,5960191,5
The Telegraph,5940518,8
Klossy,5933371,17
DisneyMusicVEVO,5916587,7
sWooZie,5913141,5
Zero Media,5869635,3
Bethany Mota,5849270,5
iHasCupquake,5823433,7
Strictly Dumpling,5809054,8
The Pet Collective,5730942,9
ChrisStapletonVEVO,5720718,20
Guava Juice,5706756,6
Fifty Shades,5697328,3
Wong Fu Productions,5643111,20
ConnorFranta,5614775,32
Rclbeauty101,5599488,8
MoreZoella,5596985,6
ÃÂÃÂ»ÃÂµÃÂºÃ‘ÂÃÂµÃÂ¹ ÃÂÃÂ°ÃÂ²ÃÂ°ÃÂ»Ã‘Å’ÃÂ½Ã‘â€¹ÃÂ¹,5579079,1
KylieMinogueOnVEVO,5572363,6
Jesse,5529291,8
ThreeDaysGraceVEVO,5527420,7
ABC7,5506919,7
ALL URBAN CENTRAL,5491645,8
BachelorsPadTv,5489920,6
Tia Mowry's Quick Fix,5489420,6
Mashed,5488331,7
Paramount Network,5482985,8
JamesAVEVO,5465397,5
Noah Nicholls,5444065,4
Maddie Ziegler,5432939,11
Food Wishes,5405852,24
Anna Akana,5389630,27
CNNMoney,5385040,14
Michelle Khare,5303023,33
Roy Moore for Senate,5247547,8
GamingWithJen,5204680,7
SugarlandVEVO,5198965,12
Kandee Johnson,5197937,20
WOWPresents,5152253,21
MariahCareyVEVO,5149796,12
ET Canada,5124037,6
StingVEVO,5102092,8
DanTDM,5093448,3
EltonJohnVEVO,5050726,6
Fleur DeForce,5050456,18
grandayy,5050182,6
JamesBayVEVO,5049890,12
How To Make Everything,5041776,17
Quicken Loans,5021256,9
Sprint,4983540,5
Anna Saccone,4962538,5
mmschocolate,4856227,15
Cat Man Chris,4812051,12
MyLifeAsEva,4809601,7
Jeopardy!,4801836,7
MSNBC,4780540,37
Comedy Central,4753081,7
Warner Bros. UK,4750222,7
BenTheBondsman,4722506,8
kehlani parrish,4721197,9
dodieVEVO,4684398,12
KeithUrbanVEVO,4671903,14
Olympic,4670431,10
I Like To Make Stuff,4634436,4
AntsCanada,4622106,6
Hydraulic Press Channel,4600322,13
CNBC,4586065,28
EA SPORTS FIFA,4566662,6
MITCHELL WIGGS,4549074,3
WXYZ-TV Detroit | Channel 7,4545273,7
Andrew Lowe,4520045,7
Vance Joy,4505738,13
CBS New York,4489513,13
FX Networks,4453454,22
Scotty Sire,4439770,6
Famous Celebrities Snaps,4437501,11
MGMTVEVO,4413729,7
TurboTax,4370697,11
Monster Cable Products,4355010,9
Mashable Daily,4292643,6
Freedom of the Press Foundation,4278714,12
Huxley Berg Studios,4262244,9
Good Morning America,4252433,23
Netflix Asia,4228105,7
Waterjet Channel,4222139,10
VICE,4209236,10
Demi Lovato,4197884,7
Studio C,4195782,8
Cam'ron,4193017,5
Tpindell,4182989,8
LukeCombsVEVO,4167194,12
Comicbook.com,4166744,12
UFC - Ultimate Fighting Championship,4164529,7
People are Awesome,4151749,9
Sailor J,4147944,30
Casey Holmes,4099561,16
VICE News,4088723,23
Mikey Murphy,4047328,6
amc,4046703,12
DanAndPhilGAMES,4033755,6
R3HAB,4019979,9
BreakingBenjaminVEVO,4019099,5
clothesencounters,4009016,16
BjÃƒÂ¶rk,4003900,23
ElectroBOOM,3981785,13
jennxpenn,3956094,12
NZPoliceRecruitment,3921025,6
ColliderVideos,3905050,53
Miss Universe,3889363,6
Shawn Johnson East,3866858,10
Summoning Salt,3854531,6
The Hollywood Reporter,3841860,35
PatrickStarrr,3754706,8
Teen Vogue,3746552,24
Toyota Global,3730960,7
MyHarto,3728970,16
BuzzFeed Nifty,3672371,24
Hamilton: An American Musical,3672322,7
TV Promos,3665480,20
Thomas Sanders,3662971,17
Diet Coke,3660760,8
RackaRacka,3650323,3
Nikita Dragun,3629441,8
Motherboard,3594802,8
Swish Daily,3574548,3
TopClips247,3562683,4
Peter McKinnon,3541124,8
Daily Caller,3527339,3
NowThis World,3513639,5
CBC News,3508302,10
Nile Wilson,3508054,11
TMZSports,3505996,1
PONY Syndrome,3473591,7
EverythingApplePro,3456350,5
CBS Sunday Morning,3450547,12
Rebel Wilson,3426561,9
The Key of Awesome,3418838,9
Yoga With Adriene,3397020,7
Jack Coyne,3387722,11
Genius,3357035,15
Portugal. The Man,3356296,18
Dave Lee,3343806,10
Daisy Marquez,3331483,6
FOX Sports,3328895,21
Markiplier,3296098,5
heyitsfeiii,3295686,5
BBC Music,3293506,3
Esther Bellido,3292899,5
JÃƒÂ¡n IlavskÃƒÂ½,3281173,4
Laura Lee,3244244,6
West Midlands Police,3236524,5
foofightersVEVO,3225798,8
KFC,3225221,7
Verizon,3222759,7
Third Leg Studios,3217651,13
Christen Dominique,3208887,7
Piece Of Me Tour Planet Hollywood,3206710,8
Christine Sydelko,3204278,6
CBS Los Angeles,3194316,43
Awkward Puppets,3193367,6
Inside the Magic,3189718,9
The Talk,3181976,26
PrettyMuchVEVO,3177869,14
New Orleans Saints on NOLA.com,3175208,9
BMW USA,3174474,3
XAmbassadorsVEVO,3171577,13
The Orchard Movies,3136894,10
Buttered Side Down,3132338,19
Michael Dapaah,3128136,9
Berd,3123806,14
Sugar Pine 7,3123696,14
OneBitMusicVEVO,3110803,3
Corridor,3098057,5
ELLEUKTV,3091426,7
Corinne Leigh,3083103,7
Lucas,3079154,12
Muselk,3056994,6
LD Entertainment,3044534,6
PB Comps,3038266,6
Dj Earworm,3034381,7
Grandpa Kitchen,3023782,7
The Oregonian,3023652,9
CNET,3021717,24
DamonAndJo,3015367,37
Super Netvid,3014847,1
HouzzTV,3003540,7
It's Okay To Be Smart,3000905,10
Radovan Lazic,2956469,2
Lofty Pursuits,2953345,5
Laura in the Kitchen,2945684,26
Yes Theory,2920522,8
KKandbabyJ,2915320,9
Cody'sLab,2892443,8
Architectural Digest,2892284,5
PLAYERUNKNOWN'S BATTLEGROUNDS,2892032,6
Avocados From Mexico,2867651,4
Persil ProClean,2858154,7
Brad Mondo,2854513,10
ChangeofplanZ,2826033,6
blackbearVEVO,2822309,4
Funny Commercials,2821311,3
standupmaths,2798640,16
grav3yardgirl,2798217,11
Chris Turner,2791032,7
ANDREW HUANG,2790190,21
United Launch Alliance,2776246,13
TheScriptVEVO,2774676,11
alt-J,2769646,7
LecraeVEVO,2695370,13
FightHype.com,2680141,18
AT&T,2673056,5
Eva Lunde Bentley,2671536,8
Numberphile,2669307,12
Wassabi Productions,2661437,6
Banana Culture Music,2661336,2
Vlogs By DK4L,2652236,6
tonyvera1902,2633276,6
H&M,2623070,8
Jason Yu,2615721,6
Man About Cake,2611893,16
Funny New Videos,2594748,4
Lame Videos,2583029,3
Nerdist,2581366,12
Shoshana Bean,2575740,7
Coca-Cola,2559038,4
CaptainDisillusion,2554074,9
Squarespace,2543558,4
BellatorMMA,2517679,2
CamVEVO,2507442,9
Gigi Gorgeous,2505629,7
jenniferhudsonVEVO,2461736,7
PetaPixel,2457408,1
USA TODAY,2454681,36
New York Daily News,2430114,8
John Campea,2411621,43
ScreenJunkies News,2409936,38
PointlessBlogVlogs,2406749,5
BeckVEVO,2386317,7
Epicurious,2386207,2
BrantleyGilbertVEVO,2363589,7
LIVEKellyandRyan,2353851,27
Sufficiently Advanced,2348034,8
Chili Klaus,2343247,3
doddlevloggle,2336975,6
Nicol Concilio,2336425,7
DonDiablo,2329716,5
Pero Like,2329316,6
Dancing With The Stars,2325706,13
Dawid Szmandra,2324333,8
Victoria's Secret,2316654,7
Rachel and Jun,2284670,2
Janelle MonÃƒÂ¡e,2283498,6
GreatScott!,2270837,11
Spotify,2261008,9
CupcakeJemma,2254012,23
ColdFusion,2249459,8
Bkav Corp,2247876,2
Max Fagin,2242004,7
J.J. McCullough,2238989,12
WhatCulture Wrestling,2226514,6
The Valleyfolk,2219026,8
AaronsAnimals,2207374,12
Business Insider,2195754,33
Dr. Sandra Lee (aka Dr. Pimple Popper),2176096,12
Tina Yong,2171817,7
Nickelback,2163388,7
Beats by Dre,2152261,1
Why Don't We,2134458,3
CrowsEyeProductions,2122761,5
Blue Origin,2118215,8
Davie504,2103375,7
Philadelphia Eagles,2101312,6
Anew Start,2082164,6
NBA Highlights Ã‚Â· YouTube,2063293,7
Adam's Apple,2063267,5
austinmcconnell,2042338,13
ScreenPrism,2042168,14
PeterSripol,2038260,6
ChvrchesVEVO,2033978,6
Gatorade,2031164,2
My Self Reliance,2024741,12
officialcharlixcx,2005775,12
Max Skipper,2000143,7
Extra Credits,1993489,6
Chubbyemu,1988301,3
TechCrunch,1986576,11
MTV International,1969687,6
Keith Urban,1962651,6
Millie T,1957326,7
Passenger,1953666,7
The Royal Family Channel,1952878,15
Keke Palmer,1940696,14
Troye Sivan,1937252,5
Vet Ranch,1936133,5
Campo Santo Productions,1935545,7
Shade 45,1927753,8
Eater,1922159,21
LadBaby Official,1911447,10
Alex Meyers,1907690,8
This Is Us,1899806,8
JamesBlakeVEVO,1894274,6
Andrew Rowland,1888321,5
WeatherTech,1886555,4
MAZELEE,1886026,6
DoritosÃ‚Â®,1881906,2
Top Korean News,1876334,8
jessiepaege,1874310,15
Slooh,1869637,6
CatPusic,1859327,4
Vinheteiro,1855819,8
Al Jazeera English,1849646,26
Asthmatic Kitty Records,1839807,6
LukeBryanVEVO,1835018,15
SigridVEVO,1824117,6
Makeupshayla,1819491,6
Laura Kampf,1818974,16
SPORTSNET,1817566,13
TheMeanKitty,1815703,3
Newsflare,1813073,6
FIFATV,1812795,6
Sesame Street,1811365,4
WhatsUpMoms,1811012,5
SiriusXM,1805745,15
LiamPayneVEVO,1787999,5
Shesez,1785251,5
TheBeatlesVEVO,1776501,4
Emirates,1771676,5
TheHoonigans,1770190,5
Wall Street Journal,1755440,8
Trace Cyrus,1752406,7
BBCRadio1VEVO,1738414,13
LifeAccordingToJimmy,1737228,8
Alabama Crimson Tide on AL.com,1731332,5
IAmAnneMarie,1726336,5
TheCubician,1724081,6
WFLA News Channel 8,1717283,7
Alex Gilbert,1717257,7
LoeyLane,1716674,7
Tom Harlock,1715725,7
PaweÃ…â€š ZadroÃ…Â¼niak,1715221,7
Rise,1713328,4
JuJu Smith-Schuster,1704488,4
SKITTLESbrand,1700600,8
Everyday Astronaut,1697749,13
merrelltwins,1693093,4
KATC,1680353,5
Lane Anderson,1679819,3
Kyle Jennermann,1673771,11
Frank May,1669331,4
Russell Howard,1669230,3
emmymadeinjapan,1661782,12
MOMOMOYOUTHVEVO,1660223,2
Trailers Promos Teasers,1651713,14
JessieJVEVO,1647502,3
Ricky Dillon,1647379,4
ToniBraxtonVEVO,1645880,5
Josh Groban,1636690,15
Valk Aviation,1609149,2
CBS Evening News,1607245,10
KIND Snacks,1597750,6
communitychannel,1596177,6
Hudson Moore,1581744,8
Tyler Stalman,1581403,15
DoodleChaos,1578502,5
DragTimes,1577536,11
It's a Southern Thing,1572514,6
KTVU,1567786,5
Lorraine,1567723,10
Paris Hilton,1558854,6
Cristi Cristian,1556025,2
Tested,1546802,5
WHAT'S INSIDE? FAMILY,1544788,13
The Scran Line,1539249,37
Shmee150,1528667,4
TheSorryGirls,1521589,12
The king of DIY,1520892,6
Rita Ora,1510319,6
Solid Gold Aquatics,1509705,6
Jenn Im,1504612,6
Ozuna,1498866,1
Tanya Burr,1494705,6
StorrorBlog,1492977,2
I.T. Channel,1489992,6
The Deal Guy,1483511,10
TobyMacVEVO,1477864,5
Galantis,1467304,5
MatthewSantoro,1463506,4
Kortney Steury,1450041,4
fosterthepeopleVEVO,1448229,4
PeopleTV,1438792,12
Bill Gates,1435079,6
YTN NEWS,1419929,8
Animal Planet,1418374,7
GwenStefaniVEVO,1414601,6
Andre Black Nerd,1407282,18
BerkleyLovesTori,1405747,7
IncubusVEVO,1403575,10
Feast Of Fiction,1400086,12
Dancing On Ice,1394268,4
Dale Dai,1392244,1
4given4ever1,1386051,6
Wix.com,1373974,5
Ingrid Nilsen,1372218,14
Physics Girl,1367703,13
TheKillersVEVO,1366893,5
MinuteEarth,1363236,7
FoxSearchlight,1362374,4
Katzun,1358038,8
Bebe Rexha,1353367,4
Matt Steffanina,1345797,4
Hunter Hayes,1344582,19
lara6683,1343869,7
McDonald's,1339491,4
FILMWEBTV,1338498,5
Caspar,1336644,5
